row_type,case_id,name,probe_kind,role,time_s,v_in,v_q1,v_mid,v_q3,v_raw_pre_extraction,v_post_extraction,i_src,i_bias
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,4.629954401964223e-09,1.278438746153448,1.9146397730938626e-30,3.6533296833831455e-79,3.8329092806938573e-132,8.186248104514852e-187,5.443939034984482e-190,-0.017385075973618328,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,9.259908803928447e-09,0.40207567722964727,4.704689499385597e-17,2.0678194920406107e-54,1.1772762941704885e-97,1.5462116117267882e-143,2.2389416164365707e-146,-0.002624873120631379,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,1.388986320589267e-08,-1.1868809777634879,1.0708289288240568e-09,7.320067617371549e-40,4.4196285164250505e-77,1.2572015338209757e-117,2.885692805748438e-120,0.01675300242888813,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,1.8519817607856893e-08,-0.6758670720095593,4.5932098828417746e-05,1.394728156017299e-29,3.748488738811199e-62,1.3891130766456482e-98,4.528712314965402e-101,0.006527726018197386,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,2.3149772009821118e-08,1.0280575687910172,0.03305216636614374,6.717549827977633e-22,1.030046147825504e-50,7.134610704814999e-84,3.0583669972554263e-86,-0.015259591628087328,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,2.777972641178534e-08,0.9148370682242706,0.892958559075319,6.138910133622152e-16,1.3983679785062524e-41,4.4765656930392383e-72,2.3834171129455957e-74,-0.010060579692261911,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,3.240968081374956e-08,-0.8161134027401519,0.8786717562628188,3.184512683001491e-11,5.062546213218457e-34,3.4942296974394637e-62,2.2415073622078562e-64,0.012914691245031832,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,3.703963521571379e-08,-1.1045829630193118,-0.8158340262245924,1.7370167654342867e-07,1.2736964402918035e-27,1.1971600148820807e-53,9.080140649089104e-56,0.013048807404999484,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,4.166958961767801e-08,0.5598959751186858,-1.1126423504598337,0.0001389885930942638,3.867116483206456e-22,3.6367469572718405e-46,3.2175586326824914e-48,-0.009888862172209736,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,4.6299544019642235e-08,1.2342273107383308,0.535714517092854,0.019071675317308776,2.0163883765627542e-17,1.5342066296456964e-39,1.5667470897742747e-41,-0.015354076245615004,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,5.092949842160646e-08,-0.27396272527586435,1.2223297314963117,0.4445354092599899,2.296610577105009e-13,1.2326888550498198e-33,1.4407319895147078e-35,0.006326482503951938,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,5.555945282357068e-08,-1.2979727302830466,-0.2598907344020574,1.2988607939292112,6.764085845330635e-10,2.4022813910372675e-28,3.191437670370857e-30,0.01681672404822414,0.0
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,6.01894072255349e-08,-0.027637489894190816,-1.2844319350805402,-0.3045420731480656,5.619001476488905e-07,1.285684050958484e-23,1.9279073360599285e-25,-0.0024290903905288016,0.0
