row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias,family,cleanup_topology
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.684485764090645e-07,2.684485764090645e-07,0.6022741530986664,0.20656494183766091,-0.2218192825232765,-0.004280198902775793,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.7228355607205115e-07,2.7228355607205115e-07,-0.6458950948755852,-1.7724255649445062,0.05966447902145294,0.00799989090448297,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.761185357350378e-07,2.761185357350378e-07,-1.0681173312550831,0.29415074436888167,0.08224028921586264,0.009964633917385687,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.7995351539802444e-07,2.7995351539802444e-07,-0.11734445158076688,-0.13277879616957325,-0.10197596933900721,-0.0008522990666258214,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.8378849506101106e-07,2.8378849506101106e-07,0.9569161235750747,1.1479478585207887,0.14142177478333326,-0.010851568657880447,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.8762347472399774e-07,2.8762347472399774e-07,0.8132196722199613,0.8624247765199611,-0.3724138251427075,-0.0068065636304638095,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.9145845438698436e-07,2.9145845438698436e-07,-0.392447532151449,-2.220466721135458,0.31647341342464186,0.005803326965829521,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.95293434049971e-07,2.95293434049971e-07,-1.1068561489168656,0.2118673351800929,-0.05558812318426567,0.010828085078551822,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.991284137129576e-07,2.991284137129576e-07,-0.3919401627568913,-0.23697158624065084,-0.039788303878915694,0.00202864894610918,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,3.029633933759443e-07,3.029633933759443e-07,0.799547469189975,0.96366975633027,0.08734030719695851,-0.009646214957212282,dual_path_phase_matched_line,extraction_plus_rejection
